country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh,capacity_segment,energy_type,owner_group
IDN,Indonesia,Jatiluhur,WRI1000762,186.0,-6.523,107.389,Hydro,,Perum Jasa Tirta Ii,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,617.9342362211355,Large (>100 MW),Renewable,Non-PLN
IDN,Indonesia,Kamojang 1  2  3,WRI1000764,140.0,-6.4239,107.4553,Geothermal,,Pln – Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,1047.183308494784,Large (>100 MW),Renewable,PLN Group
IDN,Indonesia,Kamojang 4,WRI1000765,60.0,-6.4239,107.4553,Geothermal,,Pt. Pertamina Geothermal Energy,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,448.7928464977646,Medium (10–100 MW),Renewable,Non-PLN
IDN,Indonesia,Kayu Merah - Ternate,WRI1000769,21.084,0.8,127.4,Oil,,Pln - Maluku Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,769.054460362239,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Kendari - Rental,WRI1000771,36.3,1.0591,120.798,Oil,,Pln - Rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,1324.0692900374347,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Ketenger / Mrica,WRI1000772,8.04,-7.5097,109.2778,Hydro,,Pln - Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,26.710705694720048,Small (<10 MW),Renewable,PLN Group
IDN,Indonesia,Klambu/Mrica,WRI1000773,1.117,-7.0069,110.7964,Hydro,,Pln - Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,3.71092764440327,Small (<10 MW),Renewable,PLN Group
IDN,Indonesia,Koto Panjang Kampar,WRI1000775,114.0,0.2905,100.8814,Hydro,,Pln,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,378.7338867161798,Large (>100 MW),Renewable,PLN Group
IDN,Indonesia,Kracak/Saguling,WRI1000776,18.9,-6.9039,107.6186,Hydro,,Pln - Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,62.79009174505087,Medium (10–100 MW),Renewable,PLN Group
IDN,Indonesia,Lahendong (Binary Cycle),WRI1000777,20.0,1.3346,124.8392,Geothermal,,Bppt + Pertamina,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,149.59761549925486,Medium (10–100 MW),Renewable,Non-PLN
IDN,Indonesia,Lahendong Iv,WRI1000778,80.0,1.2542,124.8225,Geothermal,,Pln + Pertamina Geothermal Energy,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,598.3904619970194,Medium (10–100 MW),Renewable,PLN Group
IDN,Indonesia,Lamajan/Saguling,WRI1000779,19.56,-6.9039,107.6186,Hydro,,Pln - Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,64.98276161551296,Medium (10–100 MW),Renewable,PLN Group
IDN,Indonesia,Larona,WRI1000780,165.0,-2.8194,121.5783,Hydro,,Pt. Inco,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,548.1674676155234,Large (>100 MW),Renewable,Non-PLN
IDN,Indonesia,Lau Renun,WRI1000781,82.0,3.0824,98.065,Hydro,,Pln - Pandan Sector,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,272.42262026953284,Medium (10–100 MW),Renewable,PLN Group
